RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-22;CPLE3;0;6,680;2900;083153284;28749422;1;2021-04-22;92
2021-04-22;CPLE3;0;6,730;800;083153284;28749423;1;2021-04-22;92
2021-04-22;CPLE3;0;6,730;1165;083153300;28749421;1;2021-04-22;92
2021-04-22;CPLE3;0;6,730;5;083154128;28749424;1;2021-04-22;92
2021-04-22;ABCB4;0;1,360;1918;091611568;28749447;1;2021-04-22;92
2021-04-22;COGN3;0;0,790;2000;091629428;28749467;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;7000;091629475;28749455;1;2021-04-22;91
2021-04-22;COGN3;0;0,790;50077;091629538;28749459;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;1650;091630850;28749457;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;2640;091630960;28749450;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;7700;091630991;28749454;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;5137;091631022;28749451;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;901;091632835;28749490;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;2000;091632851;28749474;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;118;091632851;28749481;1;2021-04-22;91
2021-04-22;VIVR3;0;7,440;2000;091632851;28749484;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;54416;091632944;28749489;1;2021-04-22;91
2021-04-22;MULT3;0;1,340;3400;091635054;28749469;1;2021-04-22;91
2021-04-22;HBOR3;0;6,740;1400;091635210;28749470;1;2021-04-22;91
2021-04-22;USIM5;0;0,220;11200;091635226;28749477;1;2021-04-22;91
2021-04-22;USIM5;0;0,220;8571;091635226;28749479;1;2021-04-22;91
2021-04-22;FLRY3;0;0,280;263;091635241;28749473;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;23244;091635257;28749492;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;23210;091635851;28749487;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;1300;091638804;28749464;1;2021-04-22;91
2021-04-22;COGN3;0;0,790;23100;091638882;28749460;1;2021-04-22;91
2021-04-22;CPTS11;0;3,940;4;091638914;28749465;1;2021-04-22;91
2021-04-22;OIBR3;0;1,760;2800;091638945;28749472;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;1300;091638960;28749463;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;101;091638992;28749456;1;2021-04-22;91
2021-04-22;ABEV3;0;0,110;2600;091641211;28749452;1;2021-04-22;91
2021-04-22;HGTX3;0;2,080;500;091641242;28749468;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;1000;091641257;28749448;1;2021-04-22;91
2021-04-22;ENBR3;0;0,270;300;091641257;28749475;1;2021-04-22;91
2021-04-22;BIDI4;0;4,120;500;091641273;28749461;1;2021-04-22;91
2021-04-22;PETR3;0;0,050;3300;091641273;28749471;1;2021-04-22;91
2021-04-22;MRVE3;0;0,340;2900;091641289;28749462;1;2021-04-22;91
2021-04-22;BRML3;0;0,110;300;091643601;28749453;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;30;091643617;28749449;1;2021-04-22;91
2021-04-22;VVAR3;0;0,150;50;091958243;28749499;1;2021-04-22;91
2021-04-22;VVAR3;0;0,150;101;091958259;28749498;1;2021-04-22;91
2021-04-22;VVAR3;0;0,150;141;091958634;28749500;1;2021-04-22;91
2021-04-22;ABEV3;0;0,110;107;092001196;28749501;1;2021-04-22;91
2021-04-22;PETR4;0;0,060;20;092001618;28749508;1;2021-04-22;91
2021-04-22;ABEV3;0;0,110;30;092001650;28749507;1;2021-04-22;91
2021-04-22;ABEV3;0;0,110;10;092001696;28749505;1;2021-04-22;91
2021-04-22;HGTX3;0;2,080;219;092001696;28749506;1;2021-04-22;91
2021-04-22;ABEV3;0;0,110;100;092001775;28749503;1;2021-04-22;91
2021-04-22;CSNA3;0;0,070;500;092001790;28749504;1;2021-04-22;91
2021-04-22;HGTX3;0;2,080;100;092001837;28749502;1;2021-04-22;91
2021-04-22;LREN3;0;0,320;99;092002212;28749523;1;2021-04-22;91
2021-04-22;YDUQ3;0;5,680;100;092002243;28749521;1;2021-04-22;91
2021-04-22;GGBR4;0;0,550;100;092002259;28749517;1;2021-04-22;91
2021-04-22;VALE3;0;0,040;265;092002353;28749520;1;2021-04-22;91
2021-04-22;MULT3;0;1,340;2;092002634;28749510;1;2021-04-22;91
2021-04-22;JBSS3;0;0,100;14;092002681;28749531;1;2021-04-22;91
2021-04-22;HCTR11;0;5,000;1;092002712;28749529;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;19;092002743;28749530;1;2021-04-22;91
2021-04-22;BRAP4;0;0,080;200;092002775;28749514;1;2021-04-22;91
2021-04-22;PETR4;0;0,060;290;092002806;28749513;1;2021-04-22;91
2021-04-22;PETR4;0;0,060;250;092002837;28749515;1;2021-04-22;91
2021-04-22;BBDC3;0;0,310;40;092002853;28749509;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;10700;092003243;28749512;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;3;092003493;28749525;1;2021-04-22;91
2021-04-22;HETA4;0;5,000;1;092003618;28749536;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;10;092003743;28749527;1;2021-04-22;91
2021-04-22;BBDC4;0;1,930;20;092003759;28749524;1;2021-04-22;91
2021-04-22;BRDT3;0;0,160;5;092003790;28749526;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;67;092003822;28749528;1;2021-04-22;91
2021-04-22;OIBR3;0;1,760;1;092004509;28749532;1;2021-04-22;91
2021-04-22;HYPE3;0;0,230;200;092004619;28749544;1;2021-04-22;91
2021-04-22;IRBR3;0;3,200;96;092004665;28749545;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;14;092004681;28749547;1;2021-04-22;91
2021-04-22;IRBR3;0;3,200;500;092004712;28749546;1;2021-04-22;91
